‎[06.08.24, 08:42:27] Emmanuel: ‎audio omitted
4.858                                                                                                                  ^
4.858 70:     </div>
4.858 71:   </div>
4.858 6:17:07 PM [vite-plugin-svelte] src/routes/Footer.svelte:69:3 `<div>` with a click handler must have an ARIA role
4.858 https://svelte.dev/e/a11y_no_static_element_interactions
4.858 67:       <a href="#Datenschutz" class="footer-text right">Impressum</a>
4.858 68:       <p class="footer-text separator">-</p>
4.858 69:       <div class="footer-text right" on:click={() => window.location.href = '/Datenschutz'}>Datenschutz</div>
4.858                                                                                                                  ^
4.858 70:     </div>
4.858 71:   </div>
4.858 6:17:07 PM [vite-plugin-svelte] src/routes/Footer.svelte:169:1 Unused CSS selector ".footer-center"
4.858 https://svelte.dev/e/css_unused_selector
4.858 167:   }
4.858 168: 
4.858 169:   .footer-center {
4.858                      ^
4.858 170:     color: black;
4.858 171:     width: 40%;
4.858 6:17:07 PM [vite-plugin-svelte] src/routes/Footer.svelte:178:1 Unused CSS selector ".footer-center-text"
4.858 https://svelte.dev/e/css_unused_selector
4.858 176:   }
4.858 177: 
4.858 178:   .footer-center-text {
4.858                           ^
4.858 179:     color: white;
4.858 180:     font-family: system-ui;
4.956 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/ImageUploader.svelte:126:3 Screenreaders already announce `<img>` elements as an image
4.956 https://svelte.dev/e/a11y_img_redundant_alt
4.956 124:   <div class="imgSection">
4.956 125:     {#if imgPreview}
4.956 126:       <img src={imgPreview} class="imgPreview" alt="Uploaded image" height="400px" width="500" />
4.956                                                                                                       ^
4.956 127:     {:else}
4.956 128:       <img src="/xr3.png" class="xrLogo" alt="Logo" height="100" width="108"  />
4.956 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/ImageUploader.svelte:153:10 Using `on:click` to listen to the click event is deprecated. Use the event attribute `onclick` instead
4.956 https://svelte.dev/e/event_directive_deprecated
4.956 151:   <div class="btnSection">
4.956 152:     <!-- <input bind:this={fileInput} type="file" accept="image/*" on:change={handleFileChange} hidden /> -->
4.956 153:     <button on:click={uploadToML}>Generate Report</button>
4.956                                       ^
4.956 154:     <!-- <button on:click={uploadImageToMl}>Generate Report</button> -->
4.956 155:   </div>
5.086 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:207:20 Visible, non-interactive elements with a click event must be accompanied by a keyboard event handler. Consider whether an interactive element such as `<button type="button">` or `<a>` might be more appropriate
5.086 https://svelte.dev/e/a11y_click_events_have_key_events
5.086 205:                                       <div class="selected-Item-header">
5.086 206:                                         <div class="selected-Item-title">{ItemToggle.name}</div>
5.086 207:                                         <div
5.086                                                  ^
5.086 208:                                           class="selected-Item-closeBtn"
5.086 209:                                           on:click={handleClosetogglebtn}
5.086 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:207:20 `<div>` with a click handler must have an ARIA role
5.086 https://svelte.dev/e/a11y_no_static_element_interactions
5.086 205:                                       <div class="selected-Item-header">
5.086 206:                                         <div class="selected-Item-title">{ItemToggle.name}</div>
5.086 207:                                         <div
5.086                                                  ^
5.086 208:                                           class="selected-Item-closeBtn"
5.086 209:                                           on:click={handleClosetogglebtn}
5.086 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:209:21 Using `on:click` to listen to the click event is deprecated. Use the event attribute `onclick` instead
5.086 https://svelte.dev/e/event_directive_deprecated
5.086 207:                                         <div
5.086 208:                                           class="selected-Item-closeBtn"
5.086 209:                                           on:click={handleClosetogglebtn}
5.086                                                                               ^
5.086 210:                                         >
5.086 211:                                           x
5.086 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:235:19 Visible, non-interactive elements with a click event must be accompanied by a keyboard event handler. Consider whether an interactive element such as `<button type="button">` or `<a>` might be more appropriate
5.086 https://svelte.dev/e/a11y_click_events_have_key_events
5.086 233:                                         : 'white'};"
5.086 234:                                     >
5.086 235:                                       <div
5.086                                                ^
5.086 236:                                         class="text-item-name"
5.086 237:                                         on:click={() => handleSelectedEvent(items)}
5.086 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:235:19 `<div>` with a click handler must have an ARIA role
5.086 https://svelte.dev/e/a11y_no_static_element_interactions
5.086 233:                                         : 'white'};"
5.086 234:                                     >
5.086 235:                                       <div
5.086                                                ^
5.086 236:                                         class="text-item-name"
5.086 237:                                         on:click={() => handleSelectedEvent(items)}
5.086 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:237:20 Using `on:click` to listen to the click event is deprecated. Use the event attribute `onclick` instead
5.086 https://svelte.dev/e/event_directive_deprecated
5.086 235:                                       <div
5.086 236:                                         class="text-item-name"
5.086 237:                                         on:click={() => handleSelectedEvent(items)}
5.086                                                                                         ^
5.086 238:                                       >
5.086 239:                                         {items.name}
5.086 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:243:22 Visible, non-interactive elements with a click event must be accompanied by a keyboard event handler. Consider whether an interactive element such as `<button type="button">` or `<a>` might be more appropriate
5.086 https://svelte.dev/e/a11y_click_events_have_key_events
5.086 241:                                         {#if items.name == 'Findings'}
5.086 242:                                           <div>
5.086 243:                                             <img
5.086                                                    ^
5.086 244:                                               src="robo2.png"
5.086 245:                                               alt="widget"
5.086 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:243:22 Non-interactive element `<img>` should not be assigned mouse or keyboard event listeners
5.086 https://svelte.dev/e/a11y_no_noninteractive_element_interactions
5.086 241:                                         {#if items.name == 'Findings'}
5.086 242:                                           <div>
5.086 243:                                             <img
5.086                                                    ^
5.086 244:                                               src="robo2.png"
5.086 245:                                               alt="widget"
5.086 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:247:23 Using `on:click` to listen to the click event is deprecated. Use the event attribute `onclick` instead
5.086 https://svelte.dev/e/event_directive_deprecated
5.086 245:                                               alt="widget"
5.086 246:                                               class="robologo"
5.086 247:                                               on:click={handleMenuClick}
5.086                                                                              ^
5.086 248:                                             />
5.086 249:                                           </div>
5.087 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:277:9 Visible, non-interactive elements with a click event must be accompanied by a keyboard event handler. Consider whether an interactive element such as `<button type="button">` or `<a>` might be more appropriate
5.087 https://svelte.dev/e/a11y_click_events_have_key_events
5.087 275:               <div class="upperBar">
5.087 276:                 <div class="optionBox">
5.087 277:                   <img
5.087                          ^
5.087 278:                     src="widget.png"
5.087 279:                     alt="widget"
5.087 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:277:9 Non-interactive element `<img>` should not be assigned mouse or keyboard event listeners
5.087 https://svelte.dev/e/a11y_no_noninteractive_element_interactions
5.087 275:               <div class="upperBar">
5.087 276:                 <div class="optionBox">
5.087 277:                   <img
5.087                          ^
5.087 278:                     src="widget.png"
5.087 279:                     alt="widget"
5.087 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:281:10 Using `on:click` to listen to the click event is deprecated. Use the event attribute `onclick` instead
5.087 https://svelte.dev/e/event_directive_deprecated
5.087 279:                     alt="widget"
5.087 280:                     class="widgetlogo"
5.087 281:                     on:click={handleMenuClick}
5.087                                                    ^
5.087 282:                   />
5.087 283:                 </div>
5.087 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:292:8 Visible, non-interactive elements with a click event must be accompanied by a keyboard event handler. Consider whether an interactive element such as `<button type="button">` or `<a>` might be more appropriate
5.087 https://svelte.dev/e/a11y_click_events_have_key_events
5.087 290:                 </div>
5.087 291: 
5.087 292:                 <div class="optionBox" on:click={handlecloselayer}>
5.087                            ^
5.087 293:                   <img src="text.png" alt="widget" class="widgetlogo" />
5.087 294:                 </div>
5.087 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:292:8 `<div>` with a click handler must have an ARIA role
5.087 https://svelte.dev/e/a11y_no_static_element_interactions
5.087 290:                 </div>
5.087 291: 
5.087 292:                 <div class="optionBox" on:click={handlecloselayer}>
5.087                            ^
5.087 293:                   <img src="text.png" alt="widget" class="widgetlogo" />
5.087 294:                 </div>
5.087 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:292:31 Using `on:click` to listen to the click event is deprecated. Use the event attribute `onclick` instead
5.087 https://svelte.dev/e/event_directive_deprecated
5.087 290:                 </div>
5.087 291: 
5.087 292:                 <div class="optionBox" on:click={handlecloselayer}>
5.087                                                                        ^
5.087 293:                   <img src="text.png" alt="widget" class="widgetlogo" />
5.087 294:                 </div>
5.087 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:316:5 Visible, non-interactive elements with a click event must be accompanied by a keyboard event handler. Consider whether an interactive element such as `<button type="button">` or `<a>` might be more appropriate
5.087 https://svelte.dev/e/a11y_click_events_have_key_events
5.087 314:       <div class="listArea" style=" width: 100%; height:75%">
5.087 315:         <div class="pdfIconArea">
5.087 316:           <div
5.087                    ^
5.087 317:             class="pdfIconBox"
5.087 318:             style="border: {updateSelectedPdf == 1 ? '2px solid black' : '0px solid blue'};"
5.087 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:316:5 `<div>` with a click handler must have an ARIA role
5.087 https://svelte.dev/e/a11y_no_static_element_interactions
5.087 314:       <div class="listArea" style=" width: 100%; height:75%">
5.087 315:         <div class="pdfIconArea">
5.087 316:           <div
5.087                    ^
5.087 317:             class="pdfIconBox"
5.087 318:             style="border: {updateSelectedPdf == 1 ? '2px solid black' : '0px solid blue'};"
5.087 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:319:6 Using `on:click` to listen to the click event is deprecated. Use the event attribute `onclick` instead
5.087 https://svelte.dev/e/event_directive_deprecated
5.087 317:             class="pdfIconBox"
5.087 318:             style="border: {updateSelectedPdf == 1 ? '2px solid black' : '0px solid blue'};"
5.087 319:             on:click={() => handlePdfClick(1)}
5.087                                                    ^
5.087 320:           >
5.087 321:             <img src="/pdfIcon.svg" alt="widget" class="pdfIcon1" />
5.089 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:324:5 Visible, non-interactive elements with a click event must be accompanied by a keyboard event handler. Consider whether an interactive element such as `<button type="button">` or `<a>` might be more appropriate
5.089 https://svelte.dev/e/a11y_click_events_have_key_events
5.091 322:             <p class="pdfTitle"> Structured Reporting knee 03-04-24 - scanlytics mock</p>
5.091 323:           </div>
5.091 324:           <div
5.091                    ^
5.091 325:             class="pdfIconBox"
5.091 326:             style="border: {updateSelectedPdf == 2 ? '2px solid black' : '0px solid blue'};"
5.091 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:324:5 `<div>` with a click handler must have an ARIA role
5.091 https://svelte.dev/e/a11y_no_static_element_interactions
5.091 322:             <p class="pdfTitle"> Structured Reporting knee 03-04-24 - scanlytics mock</p>
5.091 323:           </div>
5.091 324:           <div
5.091                    ^
5.091 325:             class="pdfIconBox"
5.091 326:             style="border: {updateSelectedPdf == 2 ? '2px solid black' : '0px solid blue'};"
5.091 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:327:6 Using `on:click` to listen to the click event is deprecated. Use the event attribute `onclick` instead
5.091 https://svelte.dev/e/event_directive_deprecated
5.091 325:             class="pdfIconBox"
5.091 326:             style="border: {updateSelectedPdf == 2 ? '2px solid black' : '0px solid blue'};"
5.091 327:             on:click={() => handlePdfClick(2)}
5.091                                                    ^
5.091 328:           >
5.091 329:             <img src="/pdfIcon.svg" alt="widget" class="pdfIcon1" />
5.091 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:337:30 Using `on:click` to listen to the click event is deprecated. Use the event attribute `onclick` instead
5.091 https://svelte.dev/e/event_directive_deprecated
5.091 335:       <div class="pdfArea">
5.091 336:         <div class="pdfContentSectionBtn">
5.091 337:           <button class="startBtn" on:click={handleAIReportingStartLayer}>Start Reporting</button>
5.091                                                                               ^
5.091 338:         </div>
5.091 339: 
5.091 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:373:1 Unused CSS selector ".text-item"
5.091 https://svelte.dev/e/css_unused_selector
5.091 371:   }
5.091 372: 
5.091 373:   .text-item {
5.091                  ^
5.091 374:     padding: 10px;
5.091 375:     margin: 5px 0;
5.091 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:397:1 Unused CSS selector ".conversationHeader"
5.091 https://svelte.dev/e/css_unused_selector
5.091 395:     flex-direction: row;
5.091 396:   }
5.091 397:   .conversationHeader {
5.091                           ^
5.091 398:     background-color: rgba(137, 43, 226, 0.468);
5.091 399:     height: 7%;
5.091 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:406:1 Unused CSS selector ".conversationMain"
5.091 https://svelte.dev/e/css_unused_selector
5.091 404:   }
5.091 405: 
5.091 406:   .conversationMain {
5.091                         ^
5.091 407:     /* background-color: rgb(15, 160, 112); */
5.091 408:     height: 95%;
5.091 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:694:1 Unused CSS selector ".imgSectionListTab"
5.091 https://svelte.dev/e/css_unused_selector
5.091 692:     border-radius: 50%;
5.091 693:   }
5.091 694:   .imgSectionListTab {
5.091                          ^
5.091 695:     background-color: #0d1117;
5.091 696:     height: 15%;
5.092 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:765:1 Unused CSS selector ".questionAreaHeader"
5.092 https://svelte.dev/e/css_unused_selector
5.092 763:   }
5.092 764: 
5.092 765:   .questionAreaHeader {
5.092                           ^
5.092 766:     background-color: rgba(137, 43, 226, 0.168);
5.092 767:     height: 5.9%;
5.092 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:772:1 Unused CSS selector ".AudioListBody"
5.092 https://svelte.dev/e/css_unused_selector
5.092 770:   }
5.092 771: 
5.092 772:   .AudioListBody {
5.092                      ^
5.092 773:     background-color: rgba(205, 226, 43, 0.995);
5.092 774:     height: 86.1%;
5.092 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:778:1 Unused CSS selector ".AudioOption"
5.092 https://svelte.dev/e/css_unused_selector
5.092 776:   }
5.092 777: 
5.092 778:   .AudioOption {
5.092                    ^
5.092 779:     background-color: rgba(226, 43, 177, 0.995);
5.092 780:     height: 8%;
5.092 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:784:1 Unused CSS selector ".pdfContentSectionArr"
5.092 https://svelte.dev/e/css_unused_selector
5.092 782:   }
5.092 783: 
5.092 784:   .pdfContentSectionArr {
5.092                             ^
5.092 785:     height: 100%;
5.092 786:     width: 97%;
5.092 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextList.svelte:808:1 Unused CSS selector ".mockPfd"
5.092 https://svelte.dev/e/css_unused_selector
5.092 806:   }
5.092 807: 
5.092 808:   .mockPfd {
5.092                ^
5.092 809:     height: 70%;
5.092 810:     width: 10%;
5.126 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/selectpage.svelte:68:5 Visible, non-interactive elements with a click event must be accompanied by a keyboard event handler. Consider whether an interactive element such as `<button type="button">` or `<a>` might be more appropriate
5.126 https://svelte.dev/e/a11y_click_events_have_key_events
5.126 66:       {#if imgArr.length > 0}
5.126 67:         {#each imgArr as img, i}
5.126 68:           <img
5.126                 ^
5.126 69:             src={img}
5.126 70:             alt="Uploaded image"
5.126 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/selectpage.svelte:68:5 Non-interactive element `<img>` should not be assigned mouse or keyboard event listeners
5.126 https://svelte.dev/e/a11y_no_noninteractive_element_interactions
5.126 66:       {#if imgArr.length > 0}
5.126 67:         {#each imgArr as img, i}
5.126 68:           <img
5.126                 ^
5.126 69:             src={img}
5.126 70:             alt="Uploaded image"
5.126 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/selectpage.svelte:68:5 Screenreaders already announce `<img>` elements as an image
5.126 https://svelte.dev/e/a11y_img_redundant_alt
5.126 66:       {#if imgArr.length > 0}
5.126 67:         {#each imgArr as img, i}
5.126 68:           <img
5.126                 ^
5.126 69:             src={img}
5.126 70:             alt="Uploaded image"
5.126 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/selectpage.svelte:73:6 Using `on:click` to listen to the click event is deprecated. Use the event attribute `onclick` instead
5.126 https://svelte.dev/e/event_directive_deprecated
5.126 71:             height="150px"
5.126 72:             width="150"
5.126 73:             on:click={() => handletrigger(img)}
5.126                                                    ^
5.126 74:           />
5.126 75:         {/each}
5.126 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/selectpage.svelte:79:4 Visible, non-interactive elements with a click event must be accompanied by a keyboard event handler. Consider whether an interactive element such as `<button type="button">` or `<a>` might be more appropriate
5.126 https://svelte.dev/e/a11y_click_events_have_key_events
5.126 77:     {:else}
5.126 78:       {#each images as image}
5.126 79:         <img
5.126               ^
5.126 80:           src={image}
5.126 81:           alt="images"
5.126 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/selectpage.svelte:79:4 Non-interactive element `<img>` should not be assigned mouse or keyboard event listeners
5.126 https://svelte.dev/e/a11y_no_noninteractive_element_interactions
5.126 77:     {:else}
5.126 78:       {#each images as image}
5.126 79:         <img
5.126               ^
5.126 80:           src={image}
5.126 81:           alt="images"
5.126 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/selectpage.svelte:84:5 Using `on:click` to listen to the click event is deprecated. Use the event attribute `onclick` instead
5.126 https://svelte.dev/e/event_directive_deprecated
5.126 82:           height="150px"
5.126 83:           width="150"
5.126 84:           on:click={() => handletrigger(image)}
5.126                                                    ^
5.126 85:         />
5.126 86:       {/each}
5.126 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/selectpage.svelte:91:60 Using `on:change` to listen to the change event is deprecated. Use the event attribute `onchange` instead
5.126 https://svelte.dev/e/event_directive_deprecated
5.126 89: 
5.126 90:   <div class="imgPreviewAddArea">
5.126 91:     <input bind:this={fileInput} type="file" accept="image/*" on:change={handleFileChange} hidden />
5.126                                                                                               ^
5.126 92: 
5.126 93:     <button class="read-btn" on:click={triggerclickEvent}>upload</button>
5.126 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/selectpage.svelte:93:27 Using `on:click` to listen to the click event is deprecated. Use the event attribute `onclick` instead
5.126 https://svelte.dev/e/event_directive_deprecated
5.126 91:     <input bind:this={fileInput} type="file" accept="image/*" on:change={handleFileChange} hidden />
5.126 92: 
5.126 93:     <button class="read-btn" on:click={triggerclickEvent}>upload</button>
5.126                                                              ^
5.126 94:   </div>
5.126 95: </div>
5.126 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/selectpage.svelte:115:1 Unused CSS selector "ul"
5.126 https://svelte.dev/e/css_unused_selector
5.126 113:     /* border: 1px solid white; */
5.126 114:   }
5.126 115:   ul {
5.126          ^
5.126 116:     text-decoration: none;
5.126 117:     list-style: none;
5.126 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/selectpage.svelte:120:1 Unused CSS selector ".xrLogo"
5.126 https://svelte.dev/e/css_unused_selector
5.126 118:   }
5.126 119: 
5.126 120:   .xrLogo {
5.126               ^
5.126 121:     opacity: 0.4;
5.126 122:     margin-bottom: 10%;
5.126 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/selectpage.svelte:148:1 Unused CSS selector ".boxSelectContent"
5.126 https://svelte.dev/e/css_unused_selector
5.126 146:   }
5.126 147: 
5.126 148:   .boxSelectContent {
5.126                         ^
5.126 149:     /* flex: 1; */
5.126 150:     /* margin: 30px; */
5.126 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/selectpage.svelte:163:1 Unused CSS selector ".patientInfo"
5.126 https://svelte.dev/e/css_unused_selector
5.126 161:     position: relative;
5.126 162:   }
5.126 163:   .patientInfo {
5.126                    ^
5.126 164:     width: 97%;
5.126 165:     height: 10%;
5.126 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/selectpage.svelte:179:1 Unused CSS selector ".patientInfoData"
5.126 https://svelte.dev/e/css_unused_selector
5.126 177:     opacity: 0.7;
5.126 178:   }
5.126 179:   .patientInfoData {
5.126                        ^
5.126 180:     width: 97%;
5.126 181:     height: 30%;
5.126 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/selectpage.svelte:196:1 Unused CSS selector ".patientB_Date"
5.126 https://svelte.dev/e/css_unused_selector
5.126 194:     font-size: 7px;
5.126 195:   }
5.126 196:   .patientB_Date {
5.126                      ^
5.126 197:     font-size: 7px;
5.126 198:   }
5.168 6:17:07 PM [vite-plugin-svelte] src/routes/Tests/audioRecorder.svelte:231:25 State referenced in its own scope will never update. Did you mean to reference it inside a closure?
5.168 https://svelte.dev/e/state_referenced_locally
5.168 229:   };
5.168 230: 
5.168 231:   console.log('audioUrl', audioUrl);
5.168                                        ^
5.168 232: 
5.168 233: 
5.168 6:17:07 PM [vite-plugin-svelte] src/routes/Tests/audioRecorder.svelte:247:8 Using `on:click` to listen to the click event is deprecated. Use the event attribute `onclick` instead
5.168 https://svelte.dev/e/event_directive_deprecated
5.168 245: </script>
5.168 246: 
5.168 247: <button on:click={toggleRecording} class="btnstring" class:is-recording={isRecording}> 
5.168                                        ^
5.168 248:   {#if btnState} 
5.168 249:   <img src="/pause.png" alt="Microphone" class="mic-icon" />
5.168 6:17:07 PM [vite-plugin-svelte] src/routes/Tests/audioRecorder.svelte:257:0 Using `on:ended` to listen to the ended event is deprecated. Use the event attribute `onended` instead
5.168 https://svelte.dev/e/event_directive_deprecated
5.168 255: {#if updateAudioState}
5.168 256: <audio autoplay 
5.168 257: on:ended={handleAudioEnd}
5.168                               ^
5.168 258: 
5.168 259: >
5.168 6:17:07 PM [vite-plugin-svelte] src/routes/Tests/audioRecorder.svelte:2:5 `isRecording` is updated, but is not declared with `$state(...)`. Changing its value will not correctly trigger updates
5.168 https://svelte.dev/e/non_reactive_update
5.168 1: <script >
5.168 2:   let isRecording = false;
5.168                     ^
5.168 3:   let recordingTimeout;
5.168 4:   let recognition;
5.551 6:17:07 PM [vite-plugin-svelte] src/routes/Technology/TextEditor.svelte:45:30 Using `on:focus` to listen to the focus event is deprecated. Use the event attribute `onfocus` instead
5.551 https://svelte.dev/e/event_directive_deprecated
5.551 43: 
5.551 44: <div class="text-editor">
5.551 45:   <textarea bind:value={text} on:focus={goToStepFour}></textarea>
5.551                                                          ^
5.551 46:   <div class="button-group">
5.551 47:     <AudioRecorder onTranscription={appendTranscription} />
5.827 6:17:08 PM [vite-plugin-svelte] src/routes/Technology/AudioRecorder.svelte:194:1 Unused CSS selector "button"
5.827 https://svelte.dev/e/css_unused_selector
5.827 192: 
5.827 193: <style>
5.827 194:   button {
5.827              ^
5.827 195:     margin: 10px 0;
5.827 196:     padding: 2px 2px;
5.827 6:17:08 PM [vite-plugin-svelte] src/routes/Technology/AudioRecorder.svelte:203:1 Unused CSS selector "button.is-recording"
5.827 https://svelte.dev/e/css_unused_selector
5.827 201:   }
5.827 202: 
5.827 203:   button.is-recording {
5.827                           ^
5.827 204:     background-color: rgb(69, 212, 255);
5.827 205:     color: white;
5.827 6:17:08 PM [vite-plugin-svelte] src/routes/Technology/AudioRecorder.svelte:208:1 Unused CSS selector ".mic-icon"
5.827 https://svelte.dev/e/css_unused_selector
5.827 206:   }
5.827 207: 
5.827 208:   .mic-icon {
5.827                 ^
5.827 209:     width: 24px;
5.827 210:     height: 24px;
6.993 ✓ 280 modules transformed.
7.027 Generated an empty chunk: "entries/pages/Tests/_page.server".
7.211 rendering chunks...
8.769 
8.769 node:internal/event_target:1101
8.769   process.nextTick(() => { throw err; });
8.769                            ^
8.769 Error: The OPENAI_API_KEY environment variable is missing or empty; either provide it, or instantiate the OpenAI client with an apiKey option, like new OpenAI({ apiKey: 'My API Key' }).
8.769     at new OpenAI (file:///app/node_modules/openai/index.mjs:45:19)
8.769     at file:///app/.svelte-kit/output/server/entries/endpoints/api/audiobot/_server.js:4:16
8.769     at ModuleJob.run (node:internal/modules/esm/module_job:271:25)
8.769     at async onImport.tracePromise.__proto__ (node:internal/modules/esm/loader:578:26)
8.769     at async analyse (file:///app/node_modules/@sveltejs/kit/src/core/postbuild/analyse.js:104:62)
8.769     at async MessagePort.<anonymous> (file:///app/node_modules/@sveltejs/kit/src/utils/fork.js:23:16)
8.769 
8.769 Node.js v22.14.0
------
Error: failed to fetch an image or build from source: error building: failed to solve: process "/bin/sh -c npm run build" did not complete successfully: exit code: 1
philipp@Philipps-MacBook-Pro scanlytics2_FE %
[08.04.25, 20:21:28] Phil: um den key zu aktivieren muss man “fly deploy” machen und dann kommt das
[08.04.25, 20:22:32] Phil: achso lol weil der SECRET_OPENAIKEY halt leer ist
[08.04.25, 20:38:48] Emmanuel: Genau
[08.04.25, 20:38:52] Emmanuel: :) t
[08.04.25, 20:53:08] Phil: ahh ok jetzt check ich das Problem
[08.04.25, 20:53:13] Phil: ja Luca weiß wies geht
[08.04.25, 20:53:25] Phil: lass mal morgen ihn fragen ob er nochmal helfen kann
[08.04.25, 21:00:04] Emmanuel: hast du es hinzugefügt
[08.04.25, 21:00:06] Emmanuel: ?
[08.04.25, 21:01:16] Phil: ja ist online
‎[08.04.25, 21:02:02] Phil: ‎image omitted
[08.04.25, 21:02:10] Phil: ist ein Henne-Ei-Problem
[08.04.25, 21:11:54] Phil: was hat dir eig Luca geschickt?
[08.04.25, 21:16:53] Phil: wir können das aber auch einfach über das Python Backend zum Laufen bringen
[08.04.25, 22:06:27] Emmanuel: fly secrets set SECRET_OPENAIKEY="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"
[08.04.25, 23:03:12] Emmanuel: Deloitte’s
[08.04.25, 23:03:16] Emmanuel: Deployed
[08.04.25, 23:03:22] Emmanuel: ‎Missed voice call. ‎Click to call back
[08.04.25, 23:13:57] Phil: https://cloud.google.com/docs/authentication/client-libraries
‎[08.04.25, 23:20:14] Phil: ‎image omitted
‎[08.04.25, 23:20:52] Emmanuel: ‎image omitted
[08.04.25, 23:38:32] Phil: Easy fix morgen früh
[09.04.25, 11:22:36] Phil: Jo hab about page und Technology responsive gefixed
‎[09.04.25, 11:28:00] Emmanuel: ‎image omitted
‎[09.04.25, 11:28:11] Emmanuel: ‎image omitted
‎[09.04.25, 11:28:22] Emmanuel: ‎audio omitted
[09.04.25, 11:46:34] Phil: Junge 😂😂
[09.04.25, 11:46:42] Phil: wie gehts dir?
[09.04.25, 11:46:45] Phil: Lief gut?
‎[09.04.25, 11:47:10] Emmanuel: ‎audio omitted
[09.04.25, 11:50:29] Phil: Crazy
[09.04.25, 11:50:40] Phil: aber schön dass es gut lief 🥰
[09.04.25, 11:53:08] Emmanuel: Find ich auch!
‎[09.04.25, 15:38:39] Emmanuel: ‎image omitted
[09.04.25, 15:39:17] Phil: Haha interesting
[09.04.25, 15:39:26] Phil: bin gespannt auf die Antworten
[09.04.25, 15:46:11] Emmanuel: Ich dachte mehr use case
[09.04.25, 15:46:15] Emmanuel: So
[09.04.25, 15:47:24] Phil: achso ja aber ganz anderes Gebiet
[09.04.25, 15:48:06] Emmanuel: -  Conversational reporting areas:
- stuctured reporting 
- ⁠Amensie  reporting 
- ⁠remote reporting bei Krankheitsfällen
- ⁠educational reporting ‎<This message was edited>
[09.04.25, 15:48:44] Phil: Kann ich dich gleich anrufen?
[09.04.25, 15:48:47] Emmanuel: Ja
[09.04.25, 15:48:59] Phil: 5 min
‎[09.04.25, 15:52:09] Emmanuel: ‎audio omitted
